
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
6C:F3:7F:21:BD:61, 2020-10-05 21:06:52, 2020-10-05 21:07:36,  6,  54, OPN, ,   , -60,        4,        0,   0.  0.  0.  0,   9, sjc-guest, 
9C:1C:12:E1:10:12, 2020-10-05 21:07:09, 2020-10-05 21:07:09, 60,  54, WPA2, CCMP, PSK, -70,        1,        0,   0.  0.  0.  0,   5, SJC-W, 
9C:1C:12:E1:10:11, 2020-10-05 21:07:09, 2020-10-05 21:07:09, 60,  54, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,   9, sjc-guest, 
9C:1C:12:E1:10:10, 2020-10-05 21:07:09, 2020-10-05 21:07:09, 60,  54, WPA2, CCMP, MGT, -70,        1,        0,   0.  0.  0.  0,   6, polity, 
62:45:B6:B7:FB:B3, 2020-10-05 21:06:53, 2020-10-05 21:06:53, -1,  -1, WEP, WEP,   , -43,        1,        0,   0.  0.  0.  0,   0, , 
24:DE:C6:3F:EB:A2, 2020-10-05 21:06:52, 2020-10-05 21:07:36, 11,  54, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,   5, SJC-W, 
6C:F3:7F:21:BD:71, 2020-10-05 21:06:52, 2020-10-05 21:07:31, 11,  54, OPN, ,   , -80,        3,        0,   0.  0.  0.  0,   9, sjc-guest, 
24:DE:C6:3F:EB:A1, 2020-10-05 21:07:03, 2020-10-05 21:07:25, 11,  54, OPN, ,   , -79,        0,        0,   0.  0.  0.  0,   9, sjc-guest, 
6C:F3:7F:21:BD:72, 2020-10-05 21:06:52, 2020-10-05 21:07:31, 11,  54, WPA2, CCMP, PSK, -76,        0,        0,   0.  0.  0.  0,   5, SJC-W, 
24:DE:C6:3F:EB:A0, 2020-10-05 21:07:03, 2020-10-05 21:07:20, 11,  54, WPA2, CCMP, MGT, -76,        0,        0,   0.  0.  0.  0,   6, polity, 
6C:F3:7F:21:BD:6A, 2020-10-05 21:06:53, 2020-10-05 21:07:31, 52,  54, WPA2, CCMP, PSK, -75,        1,        2,   0.  0.  0.  0,   5, SJC-W, 
6C:F3:7F:21:BD:70, 2020-10-05 21:06:58, 2020-10-05 21:07:31, 11,  54, WPA2, CCMP, MGT, -74,        1,        0,   0.  0.  0.  0,   6, polity, 
9C:1C:12:E1:1B:22, 2020-10-05 21:07:31, 2020-10-05 21:07:31,  1,  54, WPA2, CCMP, PSK, -74,        0,        0,   0.  0.  0.  0,   5, SJC-W, 
6C:F3:7F:21:BD:69, 2020-10-05 21:07:20, 2020-10-05 21:07:20, 52,  54, OPN, ,   , -73,        1,        0,   0.  0.  0.  0,   9, sjc-guest, 
6C:F3:7F:21:BD:68, 2020-10-05 21:07:20, 2020-10-05 21:07:20, 52,  54, WPA2, CCMP, MGT, -71,        1,        0,   0.  0.  0.  0,   6, polity, 
6C:F3:7F:21:BD:60, 2020-10-05 21:07:03, 2020-10-05 21:07:36,  6,  54, WPA2, CCMP, MGT, -65,        3,        0,   0.  0.  0.  0,   6, polity, 
DA:BF:C0:53:52:05, 2020-10-05 21:07:03, 2020-10-05 21:07:36,  1,  48, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,  14, SmartLife-5205, 
6C:F3:7F:21:BD:62, 2020-10-05 21:07:03, 2020-10-05 21:07:36,  6,  54, WPA2, CCMP, PSK, -63,        4,        4,   0.  0.  0.  0,   5, SJC-W, 
B6:B6:86:16:05:60, 2020-10-05 21:06:52, 2020-10-05 21:07:31,  6,  54, WPA2, CCMP, PSK, -60,        0,        0,   0.  0.  0.  0,  28, DIRECT-60-HP ENVY Photo 7100, 
62:45:B7:12:67:42, 2020-10-05 21:06:53, 2020-10-05 21:07:36, 157,  -1, WPA, ,   , -42,        1,        6,   0.  0.  0.  0,   0, , 
3C:52:82:20:95:70, 2020-10-05 21:06:52, 2020-10-05 21:07:36,  6,  54, WPA2, CCMP, PSK, -40,        0,        0,   0.  0.  0.  0,  29, DIRECT-6F-HP ENVY 5660 series, 
00:25:00:FF:94:73, 2020-10-05 21:07:17, 2020-10-05 21:07:17, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
64:C7:53:A8:7D:A4, 2020-10-05 21:07:24, 2020-10-05 21:07:24, -87,        2, (not associated) ,SJC-W
84:A9:3E:9C:B5:E1, 2020-10-05 21:07:10, 2020-10-05 21:07:10, -85,        1, (not associated) ,GNBA-F
F8:87:F1:4E:AD:AF, 2020-10-05 21:06:59, 2020-10-05 21:07:35, -85,        2, (not associated) ,SJC-W
C6:53:8D:FE:78:AC, 2020-10-05 21:07:08, 2020-10-05 21:07:08, -77,        1, (not associated) ,
45:ED:FC:93:03:78, 2020-10-05 21:07:22, 2020-10-05 21:07:22, -75,        1, (not associated) ,
3C:52:82:20:95:15, 2020-10-05 21:06:55, 2020-10-05 21:07:36, -79,       11, (not associated) ,PinneyWifi
14:D0:0D:7A:D8:90, 2020-10-05 21:07:32, 2020-10-05 21:07:32, -69,        1, (not associated) ,
B4:B6:86:16:85:60, 2020-10-05 21:06:55, 2020-10-05 21:07:23, -61,       30, (not associated) ,GNBA-F
7E:ED:8C:A3:53:17, 2020-10-05 21:06:53, 2020-10-05 21:07:36, -66,       19, 62:45:B7:12:67:42,
50:A6:7F:DE:C9:CC, 2020-10-05 21:07:13, 2020-10-05 21:07:13, -53,        2, (not associated) ,SJC-W
72:20:C2:B3:B7:52, 2020-10-05 21:07:17, 2020-10-05 21:07:17, -52,        2, 00:25:00:FF:94:73,
9A:77:53:7F:FA:BD, 2020-10-05 21:07:17, 2020-10-05 21:07:17, -49,        2, (not associated) ,SJC-W
79:69:3B:C3:5B:B6, 2020-10-05 21:07:10, 2020-10-05 21:07:10, -47,        1, (not associated) ,

